,symbol,marketCap,priceToBook,profitMargin,revenue,bookToPrice,BookValue,s1,s2,s3
331,NEM,60782953374,2.63,0.2261607418964116,12236037508.0,0.3802281368821293,23111389115.589355,0.2975551647951203,0.3103327065726207,0.0
332,NFLX,219198948344,16.74,0.14243580497699948,27680336126.0,0.059737156511350066,13094321884.348866,0.16858714492196453,0.2335909595044381,0.0
333,NI,10256619399,1.97,0.03212888753469982,4848781966.0,0.5076142131979695,5206405786.294415,0.06703158014358053,0.14729348278886675,0.0
334,NKE,213538457754,18.03,0.0925465726570077,39255466538.0,0.05546311702717693,11843508472.212978,0.15248313710510036,0.2221542938755963,0.0
335,NLOK,15857635771,-32.61,0.32259193142363796,1945369421.0,-0.030665440049064706,-486281379.0555045,0.0,0.0,0.0
336,NLSN,10049680677,3.44,0.10520821068550694,5665535548.0,0.29069767441860467,2921418801.4534883,0.03761276522819205,0.11033452617392672,0.0
337,NOC,59872819628,5.73,0.12163773291132829,37701090477.0,0.17452006980802792,10449008661.082024,0.13452919158358495,0.20866618158876304,0.0
338,NOV,6687663207,1.39,-0.11537648731050416,5521561234.0,0.7194244604316548,4811268494.244605,0.06194425538501503,0.14159382734128298,0.81762739544599
339,NOW,93989252166,31.07,0.03256681790594226,4855187302.0,0.0321853878339234,3025080533.183135,0.038947392217227365,0.11227498216667119,0.0
340,NRG,8571964972,5.52,0.02110046172693836,15763882659.0,0.1811594202898551,1552892205.072464,0.019993220384910283,0.0804424296377832,0.0
341,NSC,72574656872,4.93,0.2436603877444223,10110690329.0,0.20283975659229211,14721025734.6856,0.1895306775603081,0.24767579192036207,0.0
342,NTAP,17125375854,36.83,0.11093763283247518,5868260524.0,0.027151778441487917,464984410.9150149,0.005986594415636057,0.0440183461014979,0.0
343,NTRS,24931309499,2.41,0.1962719967141986,6409889997.0,0.41493775933609955,10344941700.829874,0.13318934734693247,0.20762447537683942,0.0
344,NUE,30178784786,2.8,0.07678581449277062,21759138391.0,0.35714285714285715,10778137423.571428,0.13876666786298736,0.21192704502527338,0.0
345,NVDA,355015522981,21.44,0.2626042843169397,17450549901.0,0.046641791044776115,16558559840.531715,0.21318861352197138,0.26267927276949526,0.0
346,NVR,17070433796,5.88,0.12568128383872823,8228683830.0,0.17006802721088435,2903134999.319728,0.03737736441650641,0.1099887180087297,0.0
347,NWL,12242183168,3.19,0.06209410677172942,9911907258.0,0.31347962382445144,3837674974.294671,0.04940940605928784,0.12645867275408368,0.0
348,NWS,15289358419,,,,,,0.0,0.0,0.0
349,NWSA,15372123367,2.0,-0.006184285148325385,8864506084.0,0.5,7686061683.5,0.09895672386549152,0.1789643210225317,0.0
350,O,25212824473,2.2,0.21297891582983064,1726988998.0,0.45454545454545453,11460374760.454546,0.14755035638081462,0.21853144330856106,0.0
351,ODFL,31269194067,10.1,0.183901273886013,4309580839.0,0.09900990099009901,3095959808.6138616,0.03985995071277545,0.11358269821795641,0.0
352,OKE,24342946185,4.1,0.12328947040487241,9946860120.0,0.24390243902439027,5937303947.560976,0.07644176841640153,0.15729291662085387,0.0
